SimTime,Lat,Lon,Alt,qw,qx,qy,qz,Vx,Vy,Vz
147.02,39.478640899999995,-0.3463287,55.71,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
147.06,39.478640999999996,-0.3463287,55.77,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
147.1,39.478640999999996,-0.3463287,55.81,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
147.13,39.478640999999996,-0.3463288,55.87,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.43
147.16,39.478640999999996,-0.3463288,55.93,0.7,0.0,-0.0,0.7,0.03,-0.02,-1.44
147.19,39.478640999999996,-0.3463288,55.95,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.44
147.22,39.478640999999996,-0.3463288,56.01,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.44
147.26,39.478640999999996,-0.3463288,56.08,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.44
147.3,39.478640999999996,-0.3463288,56.11,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.44
147.33,39.478640999999996,-0.3463288,56.17,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.36,39.478640899999995,-0.3463288,56.23,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.39,39.478640899999995,-0.3463288,56.26,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.42,39.478640899999995,-0.3463288,56.32,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.46,39.478640899999995,-0.3463288,56.38,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.5,39.478640899999995,-0.3463288,56.42,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.53,39.478640899999995,-0.3463288,56.48,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.56,39.478640899999995,-0.3463288,56.54,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.59,39.478640899999995,-0.3463288,56.56,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.45
147.62,39.478640899999995,-0.3463288,56.62,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.46
147.66,39.478640899999995,-0.3463288,56.69,0.7,0.0,-0.0,0.7,0.02,-0.02,-1.46
